scnlp400-00001	neutralizador de nitroglicerina
scnlp400-00002	operador de purificación ii
scnlp400-00003	jugador de rugby
scnlp400-00004	técnico psiquiátrico
scnlp400-00005	gasser
scnlp400-00006	taladradora y escariador automáticos
scnlp400-00007	operador más seco iii
scnlp400-00008	inspector de fabricación de metales
scnlp400-00009	montador automático
scnlp400-00010	reparador de plásticos
scnlp400-00011	guionista
scnlp400-00012	ingeniero de protección contra incendios
scnlp400-00013	analista de diseño de base de datos
scnlp400-00014	operador de proceso de absorción continua
scnlp400-00015	camarera
scnlp400-00016	dibujante rápido
scnlp400-00017	equilibrador estático
scnlp400-00018	montaje de máquina de escribir y inspector de piezas
scnlp400-00019	mecánico de servicio de equipos de gas comprimido
scnlp400-00020	operador de máquinas de llenado y engrapado
scnlp400-00021	tatuador
scnlp400-00022	ebanista supervisor
scnlp400-00023	máquina laminadora de la pista
scnlp400-00024	aprendiz de albañil de cemento
scnlp400-00025	interlacer
scnlp400-00026	cortador de máquina húmeda
scnlp400-00027	coordinador de seguridad informática
scnlp400-00028	supervisor de procesamiento de cebo de pescado
scnlp400-00029	operador de máquina de fundición
scnlp400-00030	probador de neumáticos automotrices
scnlp400-00031	cortador de archivos
scnlp400-00032	bb shot packer
scnlp400-00033	coper de la mano
scnlp400-00034	sous chef
scnlp400-00035	inspector de grava
scnlp400-00036	operador de la máquina de la tira posterior
scnlp400-00037	máquina rebajadora
scnlp400-00038	operador de corte por rayo láser
scnlp400-00039	coordinador del programa de seguridad del club de automóviles
scnlp400-00040	alimentador
scnlp400-00041	agate setter
scnlp400-00042	supervisor de mantenimiento de tráfico
scnlp400-00043	operador de la máquina de la corona
scnlp400-00044	ensamblador de equipos fotográficos
scnlp400-00045	educador de música
scnlp400-00046	acompañante de paseo en animales
scnlp400-00047	televangelista
scnlp400-00048	operador de martillo
scnlp400-00049	ajustador de la máquina de inserción de imprimación
scnlp400-00050	supervisor de procesamiento de películas
scnlp400-00051	obstetra
scnlp400-00052	cargador de horno de fusión
scnlp400-00053	supervisor de hormigón prefabricado y pretensado
scnlp400-00054	mantenedor de prensa de curado
scnlp400-00055	tampón de grasa
scnlp400-00056	asistente administrativo
scnlp400-00057	operador de máquina de perforación y llenado
scnlp400-00058	mecánico de calcetería
scnlp400-00059	artista grafico
scnlp400-00060	ingeniero de pruebas aeronauticas
scnlp400-00061	molinero de destilería
scnlp400-00062	inspector de serigrafía
scnlp400-00063	secretario de desarrollo
scnlp400-00064	operador de máquina de pelar
scnlp400-00065	tenista
scnlp400-00066	ayudante de tintorería
scnlp400-00067	supervisor de café
scnlp400-00068	trabajador general de la casa
scnlp400-00069	secretario de estado
scnlp400-00070	ayudante más seco
scnlp400-00071	operador de mezclador ii
scnlp400-00072	supervisor de boxes
scnlp400-00073	administrador de tráfico ii
scnlp400-00074	supervisor de laminación en frío
scnlp400-00075	operador de perforación de roca i
scnlp400-00076	primera mujer
scnlp400-00077	operador de máquina kerfer
scnlp400-00078	briner
scnlp400-00079	grader del árbol de navidad
scnlp400-00080	trabajador del cementerio
scnlp400-00081	regulador de piñón
scnlp400-00082	escritor de copias
scnlp400-00083	marcador ii
scnlp400-00084	licitación de flotación
scnlp400-00085	supervisor de controles termostáticos
scnlp400-00086	licuadora de pañales
scnlp400-00087	corredor de valores
scnlp400-00088	supervisor de educación especial
scnlp400-00089	pastor de ovejas
scnlp400-00090	air bag curer
scnlp400-00091	ayudante de la máquina formadora de cartón
scnlp400-00092	operador más áspero
scnlp400-00093	conductor de camión de polvo
scnlp400-00094	supervisor de mantenimiento de aeronaves
scnlp400-00095	máquina grainer
scnlp400-00096	oboista
scnlp400-00097	procesador de polvo de carburo
scnlp400-00098	molinillo de herramientas i
scnlp400-00099	arandela de algodón
scnlp400-00100	mesera
scnlp400-00101	desbarbador de la máquina
scnlp400-00102	empleado de archivos ii
scnlp400-00103	reglas de la cinta operador de la máquina de impresión
scnlp400-00104	operador de molino de polvo
scnlp400-00105	observador de prospección de gravedad
scnlp400-00106	silvicultor
scnlp400-00107	finisher de fotografía
scnlp400-00108	supervisor de té y especias
scnlp400-00109	hostelero
scnlp400-00110	educativo, director de enfermería de salud comunitaria
scnlp400-00111	operador de máquina de escribir telegráfica
scnlp400-00112	nadador
scnlp400-00113	supervisor de señales
scnlp400-00114	ingeniero hidráulico
scnlp400-00115	marcador de hilo
scnlp400-00116	doble de acción
scnlp400-00117	raspador
scnlp400-00118	historiador de las artes dramáticas
scnlp400-00119	tabernero
scnlp400-00120	portería
scnlp400-00121	alimentador de la guarnición de la caja
scnlp400-00122	cowpuncher traducción
scnlp400-00123	enhebrador
scnlp400-00124	supervisor de fabricación de tuberías
scnlp400-00125	operador de subestación
scnlp400-00126	constructor de ánodo
scnlp400-00127	cajero de pagos
scnlp400-00128	operador de prueba de presión
scnlp400-00129	investigador de alarmas
scnlp400-00130	abogado de membresía
scnlp400-00131	encuadernador y constructor de cajas
scnlp400-00132	pesador
scnlp400-00133	fabricante de queso cottage
scnlp400-00134	redactor electrónico
scnlp400-00135	gramático
scnlp400-00136	fabricante de boquillas hidráulicas
scnlp400-00137	supervisor de procesamiento de campo de gas natural
scnlp400-00138	alimentador de máquina de corte
scnlp400-00139	comprobador de núcleo
scnlp400-00140	apretón
scnlp400-00141	operador de la máquina de cuajar joyas
scnlp400-00142	limpiachimeneas
scnlp400-00143	setter de la máquina de inducción
scnlp400-00144	pulverizador de manos
scnlp400-00145	neumático recapper
scnlp400-00146	ayudante de licuefacción y regasificación
scnlp400-00147	capitán de bomberos
scnlp400-00148	empleado de información
scnlp400-00149	inspector de aislamiento
scnlp400-00150	buffer
scnlp400-00151	reps.
scnlp400-00152	inspector de mantenimiento
scnlp400-00153	operador de horno rotativo
scnlp400-00154	escritor de signo de máquina
scnlp400-00155	vamp creaser
scnlp400-00156	jefe mayor
scnlp400-00157	licitación de equipos de enrutamiento
scnlp400-00158	jefe de batallón
scnlp400-00159	trabajador de utilidad de producción
scnlp400-00160	auxiliar de destilación
scnlp400-00161	operador de planta de níquel
scnlp400-00162	máquina de hielo
scnlp400-00163	probador de calidad del agua
scnlp400-00164	técnico de ingeniería de protección contra incendios
scnlp400-00165	gerente de laboratorio
scnlp400-00166	humorista
scnlp400-00167	supervisor de operador de máquina
scnlp400-00168	operador de refinería de grasa
scnlp400-00169	operador de máquina engrasadora
scnlp400-00170	operador de polimerización de ácidos
scnlp400-00171	tubber
scnlp400-00172	operador de autoclave i
scnlp400-00173	ajustador de la máquina de acabado del caso
scnlp400-00174	cortar el operador de la máquina
scnlp400-00175	tambor rotatorio, curtidor de proceso continuo
scnlp400-00176	jinrikisha conductor
scnlp400-00177	operador de máquinas móviles
scnlp400-00178	supervisor de fabricación de aluminio
scnlp400-00179	abogado de la corporación
scnlp400-00180	ayudante mecánico de la central eléctrica
scnlp400-00181	inspector de patrones de papel
scnlp400-00182	secretario financiero
scnlp400-00183	laminador ii
scnlp400-00184	ayudante de la máquina de procesamiento de papel
scnlp400-00185	marcador de paracaídas
scnlp400-00186	prensa de perforación
scnlp400-00187	operador automático de máquinas de encolar
scnlp400-00188	animador de parque de atracciones
scnlp400-00189	barrel charrer
scnlp400-00190	instalador de tuberías para motores diesel ii
scnlp400-00191	operador de máquina de franja de bolas
scnlp400-00192	enfermera de oficina
scnlp400-00193	operador de máquina de frotar costura
scnlp400-00194	capa de alfombra
scnlp400-00195	operador de la máquina de pavimentación de hormigón
scnlp400-00196	pesa de verificación
scnlp400-00197	oficial de corrección
scnlp400-00198	operador de máquina de lijado
scnlp400-00199	técnico de laboratorio farmacéutico
scnlp400-00200	tapa del ataúd
scnlp400-00201	limpiador de pescado
scnlp400-00202	meteoróloga
scnlp400-00203	asesoramiento e información
scnlp400-00204	organizador
scnlp400-00205	mozo
scnlp400-00206	decapante
scnlp400-00207	ensamblador detonador
scnlp400-00208	fabricante de caña
scnlp400-00209	sneller de la máquina
scnlp400-00210	cubierta de tuberías y aislante
scnlp400-00211	operador de hasher
scnlp400-00212	clérigos
scnlp400-00213	operador de máquina granuladora
scnlp400-00214	operador de torno de vidrio
scnlp400-00215	carpintero i
scnlp400-00216	representante de ventas de arte gráfico
